,DESCRICAO_UE,SIGLA_UE,SIGLA_UF
1,ACRELANDIA,1120,AC
50,ASSIS BRASIL,1570,AC
87,BRASILEIA,1058,AC
168,BUJARI,1007,AC
236,CAPIXABA,1015,AC
304,CRUZEIRO DO SUL,1074,AC
403,EPITACIOLANDIA,1112,AC
482,FEIJO,1139,AC
531,JORDAO,1104,AC
572,MANCIO LIMA,1090,AC
626,MANUEL URBANO,1554,AC
668,MARECHAL THAUMATURGO,1040,AC
717,PLACIDO DE CASTRO,1511,AC
809,PORTO ACRE,1023,AC
919,PORTO WALTER,1066,AC
981,RIO BRANCO,1392,AC
1172,RODRIGUES ALVES,1082,AC
1207,SANTA ROSA,1031,AC
1233,SENA MADUREIRA,1457,AC
1311,SENADOR GUIOMARD,1538,AC
1397,TARAUACA,1473,AC
1465,XAPURI,1490,AC
1512,AGUA BRANCA,27014,AL
1564,ANADIA,27030,AL
1615,ARAPIRACA,27057,AL
1755,ATALAIA,27073,AL
1830,BARRA DE SANTO ANTONIO,27090,AL
1929,BARRA DE SAO MIGUEL,27111,AL
2011,BATALHA,27138,AL
2094,BELEM,27154,AL
2142,BELO MONTE,27170,AL
2177,BOCA DA MATA,27197,AL
2252,BRANQUINHA,27219,AL
2309,CACIMBINHAS,27235,AL
2356,CAJUEIRO,27251,AL
2418,CAMPESTRE,27081,AL
2492,CAMPO ALEGRE,27278,AL
2554,CAMPO GRANDE,27294,AL
2605,CANAPI,27316,AL
2663,CAPELA,27332,AL
2737,CARNEIROS,27359,AL
2779,CHA PRETA,27375,AL
2816,COITE DO NOIA,27391,AL
2851,COLONIA LEOPOLDINA,27413,AL
2902,COQUEIRO SECO,27430,AL
2964,CORURIPE,27456,AL
3050,CRAIBAS,28894,AL
3131,DELMIRO GOUVEIA,27472,AL
3198,DOIS RIACHOS,27499,AL
3244,ESTRELA DE ALAGOAS,27049,AL
3310,FEIRA GRANDE,27510,AL
3345,FELIZ DESERTO,27537,AL
3399,FLEXEIRAS,27553,AL
3468,GIRAU DO PONCIANO,27570,AL
3542,IBATEGUARA,27596,AL
3631,IGACI,27618,AL
3684,IGREJA NOVA,27634,AL
3734,INHAPI,27650,AL
3806,JACARE DOS HOMENS,27677,AL
3852,JACUIPE,27693,AL
3916,JAPARATINGA,27715,AL
3977,JARAMATAIA,27731,AL
4015,JEQUIA DA PRAIA,27065,AL
4073,JOAQUIM GOMES,27758,AL
4142,JUNDIA,27774,AL
4216,JUNQUEIRO,27790,AL
4254,LAGOA DA CANOA,27812,AL
4303,LIMOEIRO DE ANADIA,27839,AL
4342,MACEIO,27855,AL
4751,MAJOR ISIDORO,27871,AL
4818,MAR VERMELHO,27979,AL
4861,MARAGOGI,27898,AL
4945,MARAVILHA,27910,AL
5004,MARECHAL DEODORO,27936,AL
5112,MARIBONDO,27952,AL
5177,MATA GRANDE,27995,AL
5211,MATRIZ DE CAMARAGIBE,28010,AL
5326,MESSIAS,28037,AL
5389,MINADOR DO NEGRAO,28053,AL
5421,MONTEIROPOLIS,28070,AL
5469,MURICI,28096,AL
5515,NOVO LINO,28118,AL
5572,OLHO D AGUA DAS FLORES,28134,AL
5643,OLHO D AGUA DO CASADO,28150,AL
5681,OLHO D AGUA GRANDE,28177,AL
5712,OLIVENCA,28193,AL
5761,OURO BRANCO,28215,AL
5840,PALESTINA,28231,AL
5876,PALMEIRA DOS INDIOS,28258,AL
5971,PAO DE ACUCAR,28274,AL
6037,PARICONHA,27022,AL
6095,PARIPUEIRA,27006,AL
6203,PASSO DE CAMARAGIBE,28290,AL
6284,PAULO JACINTO,28312,AL
6326,PENEDO,28339,AL
6444,PIACABUCU,28355,AL
6500,PILAR,28371,AL
6564,PINDOBA,28398,AL
6585,PIRANHAS,28410,AL
6635,POCO DAS TRINCHEIRAS,28436,AL
6666,PORTO CALVO,28452,AL
6765,PORTO DE PEDRAS,28479,AL
6835,PORTO REAL DO COLEGIO,28495,AL
6893,QUEBRANGULO,28517,AL
6969,RIO LARGO,28533,AL
7091,ROTEIRO,28550,AL
7157,SANTA LUZIA DO NORTE,28576,AL
7219,SANTANA DO IPANEMA,28592,AL
7297,SANTANA DO MUNDAU,28614,AL
7348,SAO BRAS,28630,AL
7387,SAO JOSE DA LAJE,28657,AL
7457,SAO JOSE DA TAPERA,28673,AL
7568,SAO LUIS DO QUITUNDE,28690,AL
7678,SAO MIGUEL DOS CAMPOS,28711,AL
7760,SAO MIGUEL DOS MILAGRES,28738,AL
7833,SAO SEBASTIAO,28754,AL
7908,SATUBA,28770,AL
7981,SENADOR RUI PALMEIRA,28916,AL
8028,SENADOR TEOTONIO VILELA,28932,AL
8121,TANQUE D ARCA,28797,AL
8194,TAQUARANA,28819,AL
8259,TRAIPU,28835,AL
8332,UNIAO DOS PALMARES,28851,AL
8461,VICOSA,28878,AL
8553,ALVARAES,2895,AM
8667,AMATURA,2917,AM
8744,ANAMA,2933,AM
8821,ANORI,2038,AM
8900,APUI,2003,AM
8964,ATALAIA DO NORTE,2054,AM
9032,AUTAZES,2070,AM
9123,BARCELOS,2097,AM
9190,BARREIRINHA,2119,AM
9299,BENJAMIN CONSTANT,2135,AM
9391,BERURI,2950,AM
9481,BOA VISTA DE RAMOS,2976,AM
9566,BOCA DO ACRE,2151,AM
9659,BORBA,2178,AM
9756,CAAPIRANGA,2992,AM
9805,CANUTAMA,2194,AM
9854,CARAUARI,2216,AM
9911,CAREIRO,2232,AM
10041,CAREIRO DA VARZEA,2046,AM
10140,COARI,2259,AM
10271,CODAJAS,2275,AM
10359,EIRUNEPE,2291,AM
10469,ENVIRA,2313,AM
10508,FONTE BOA,2330,AM
10607,GUAJARA,2020,AM
10644,HUMAITA,2356,AM
10720,IPIXUNA,2399,AM
10763,IRANDUBA,98353,AM
10935,ITACOATIARA,2410,AM
11047,ITAMARATI,98370,AM
11094,ITAPIRANGA,2437,AM
11195,JAPURA,2453,AM
11270,JURUA,2470,AM
11322,JUTAI,2496,AM
11414,LABREA,2518,AM
11508,MANACAPURU,2534,AM
11628,MANAQUIRI,98396,AM
11743,MANAUS,2550,AM
12639,MANICORE,2577,AM
12738,MARAA,2593,AM
12810,MAUES,2615,AM
12905,NHAMUNDA,2631,AM
12960,NOVA OLINDA DO NORTE,2658,AM
13048,NOVO ARIPUANA,2674,AM
13124,NOVO AYRAO,2011,AM
13228,PARINTINS,2690,AM
13338,PAUINI,2712,AM
13407,PRESIDENTE FIGUEIREDO,98418,AM
13532,RIO PRETO DA EVA,98434,AM
13637,SANTA ISABEL DO RIO NEGRO,2372,AM
13695,SANTO ANTONIO DO ICA,2739,AM
13761,SAO GABRIEL DA CACHOEIRA,2836,AM
13845,SAO PAULO DE OLIVENCA,2755,AM
13901,SAO SEBASTIAO DO UATUMA,98450,AM
13958,SILVES,2771,AM
14037,TABATINGA,98477,AM
14144,TAPAUA,2798,AM
14201,TEFE,2810,AM
14307,TONANTINS,98515,AM
14364,UARINI,98493,AM
14476,URUCARA,2852,AM
14581,URUCURITUBA,2879,AM
14700,AMAPA,6017,AP
14750,AMAPARI,6084,AP
14799,CALCOENE,6033,AP
14838,CUTIAS,6068,AP
14893,FERREIRA GOMES,6114,AP
14944,ITAUBAL,6041,AP
15006,LARANJAL DO JARI,6130,AP
15127,MACAPA,6050,AP
15320,MAZAGAO,6076,AP
15384,OIAPOQUE,6092,AP
15453,PORTO GRANDE,6025,AP
15536,PRACUUBA,6009,AP
15591,SANTANA,6157,AP
15722,SERRA DO NAVIO,6106,AP
15776,TARTARUGALZINHO,6173,AP
15859,VITORIA DO JARI,6122,AP
15940,ABAIRA,33014,BA
15972,ABARE,33030,BA
16026,ACAJUTIBA,33057,BA
16087,ADUSTINA,33065,BA
16137,AGUA FRIA,33073,BA
16207,AIQUARA,33111,BA
16244,ALAGOINHAS,33138,BA
16454,ALCOBACA,33154,BA
16546,ALMADINA,33170,BA
16591,AMARGOSA,33197,BA
16679,AMELIA RODRIGUES,33219,BA
16773,AMERICA DOURADA,30716,BA
16826,ANAGE,33235,BA
16881,ANDARAI,33251,BA
16923,ANDORINHA,33260,BA
17004,ANGICAL,33278,BA
17078,ANGUERA,33294,BA
17115,ANTAS,33316,BA
17145,ANTONIO CARDOSO,33332,BA
17197,ANTONIO GONCALVES,33359,BA
17238,APORA,33375,BA
17282,APUAREMA,33405,BA
17334,ARACAS,33383,BA
17405,ARACATU,33391,BA
17441,ARACI,33413,BA
17546,ARAMARI,33430,BA
17619,ARATACA,30732,BA
17683,ARATUIPE,33456,BA
17748,AURELINO LEAL,33472,BA
17855,BAIANOPOLIS,33499,BA
17902,BAIXA GRANDE,33510,BA
17962,BANZAE,33529,BA
17998,BARRA,33537,BA
18083,BARRA DA ESTIVA,33553,BA
18125,BARRA DO CHOCA,33570,BA
18191,BARRA DO MENDES,33596,BA
18239,BARRA DO ROCHA,33618,BA
18315,BARREIRAS,33634,BA
18472,BARRO ALTO,30759,BA
18501,BARROCAS,30775,BA
18544,BELMONTE,33677,BA
18614,BELO CAMPO,33693,BA
18669,BIRITINGA,33715,BA
18717,BOA NOVA,33731,BA
18759,BOA VISTA DO TUPIM,33758,BA
18807,BOM JESUS DA LAPA,33774,BA
18915,BOM JESUS DA SERRA,33782,BA
18945,BONINAL,33790,BA
18980,BONITO,33804,BA
19032,BOQUIRA,33812,BA
19078,BOTUPORA,33839,BA
19109,BREJOES,33855,BA
19173,BREJOLANDIA,33871,BA
19210,BROTAS DE MACAUBAS,33898,BA
19259,BRUMADO,33910,BA
19336,BUERAREMA,33936,BA
19450,BURITIRAMA,30791,BA
19485,CAATIBA,33952,BA
19550,CABACEIRAS DO PARAGUACU,33960,BA
19588,CACHOEIRA,33979,BA
19725,CACULE,33995,BA
19776,CAEM,34010,BA
19818,CAETANOS,34029,BA
19858,CAETITE,34037,BA
19913,CAFARNAUM,34053,BA
19972,CAIRU,34070,BA
20058,CALDEIRAO GRANDE,34096,BA
20112,CAMACAN,34118,BA
20218,CAMACARI,34134,BA
20434,CAMAMU,34150,BA
20540,CAMPO ALEGRE DE LOURDES,34177,BA
20584,CAMPO FORMOSO,34193,BA
20641,CANAPOLIS,34215,BA
20675,CANARANA,34231,BA
20733,CANAVIEIRAS,34258,BA
20851,CANDEAL,34274,BA
20888,CANDEIAS,34290,BA
21077,CANDIBA,34312,BA
21110,CANDIDO SALES,34339,BA
21167,CANSANCAO,34355,BA
21267,CANUDOS,30856,BA
21332,CAPELA DO ALTO ALEGRE,30813,BA
21395,CAPIM GROSSO,30830,BA
21458,CARAIBAS,34363,BA
21523,CARAVELAS,34371,BA
21616,CARDEAL DA SILVA,34398,BA
21675,CARINHANHA,34410,BA
21737,CASA NOVA,34436,BA
21850,CASTRO ALVES,34452,BA
21912,CATOLANDIA,34479,BA
21939,CATU,34495,BA
22085,CATURAMA,34509,BA
22130,CENTRAL,34517,BA
22196,CHORROCHO,34533,BA
22232,CICERO DANTAS,34550,BA
22286,CIPO,34576,BA
22320,COARACI,34592,BA
22390,COCOS,34614,BA
22446,CONCEICAO DA FEIRA,34630,BA
22572,CONCEICAO DO ALMEIDA,34657,BA
22639,CONCEICAO DO COITE,34673,BA
22722,CONCEICAO DO JACUIPE,34690,BA
22843,CONDE,34711,BA
22940,CONDEUBA,34738,BA
23010,CONTENDAS DO SINCORA,34754,BA
23059,CORACAO DE MARIA,34770,BA
23175,CORDEIROS,34797,BA
23219,CORIBE,34819,BA
23264,CORONEL JOAO SA,34835,BA
23321,CORRENTINA,34851,BA
23373,COTEGIPE,34878,BA
23419,CRAVOLANDIA,34894,BA
23460,CRISOPOLIS,34916,BA
23500,CRISTOPOLIS,34932,BA
23542,CRUZ DAS ALMAS,34959,BA
23638,CURACA,34975,BA
23718,DARIO MEIRA,34991,BA
23771,DIAS D AVILA,30872,BA
23913,DOM BASILIO,35017,BA
23972,DOM MACEDO COSTA,35033,BA
23996,ELISIO MEDRADO,35050,BA
24039,ENCRUZILHADA,35076,BA
24137,ENTRE RIOS,35092,BA
24259,ERICO CARDOSO,33090,BA
24299,ESPLANADA,35114,BA
24407,EUCLIDES DA CUNHA,35130,BA
24479,EUNAPOLIS,30058,BA
24678,FATIMA,30899,BA
24721,FEIRA DA MATA,35149,BA
24765,FEIRA DE SANTANA,35157,BA
25108,FILADELFIA,30910,BA
25157,FIRMINO ALVES,35173,BA
25187,FLORESTA AZUL,35190,BA
25268,FORMOSA DO RIO PRETO,35211,BA
25319,GANDU,35238,BA
25401,GAVIAO,30937,BA
25440,GENTIO DO OURO,35254,BA
25480,GLORIA,35270,BA
25535,GONGOGI,35297,BA
25606,GOVERNADOR LOMANTO JUNIOR,33650,BA
25671,GOVERNADOR MANGABEIRA,35319,BA
25780,GUAJERU,30953,BA
25806,GUANAMBI,35335,BA
25867,GUARATINGA,35351,BA
25965,HELIOPOLIS,30970,BA
26015,IACU,35378,BA
26098,IBIASSUCE,35394,BA
26126,IBICARAI,35416,BA
26254,IBICOARA,35432,BA
26281,IBICUI,35459,BA
26334,IBIPEBA,35475,BA
26370,IBIPITANGA,35513,BA
26416,IBIQUERA,35530,BA
26457,IBIRAPITANGA,35556,BA
26546,IBIRAPUA,35572,BA
26579,IBIRATAIA,35599,BA
26647,IBITIARA,35610,BA
26673,IBITITA,35637,BA
26708,IBOTIRAMA,35653,BA
26754,ICHU,35670,BA
26795,IGAPORA,35696,BA
26828,IGRAPIUNA,35700,BA
26923,IGUAI,35718,BA
26975,ILHEUS,35734,BA
27295,INHAMBUPE,35750,BA
27399,IPECAETA,35777,BA
27490,IPIAU,35793,BA
27618,IPIRA,35815,BA
27692,IPUPIARA,35831,BA
27721,IRAJUBA,35858,BA
27758,IRAMAIA,35874,BA
27811,IRAQUARA,35890,BA
27865,IRARA,35912,BA
28001,IRECE,35939,BA
28129,ITABELA,35947,BA
28246,ITABERABA,35955,BA
28377,ITABUNA,35971,BA
28607,ITACARE,35998,BA
28712,ITAETE,36013,BA
28759,ITAGI,36030,BA
28823,ITAGIBA,36056,BA
28928,ITAGIMIRIM,36072,BA
28996,ITAGUACU DA BAHIA,36080,BA
29046,ITAJU DO COLONIA,36099,BA
29104,ITAJUIPE,36110,BA
29224,ITAMARAJU,36137,BA
29441,ITAMARI,36153,BA
29487,ITAMBE,36170,BA
29552,ITANAGRA,36196,BA
29623,ITANHEM,36218,BA
29695,ITAPARICA,36234,BA
29826,ITAPE,36250,BA
29886,ITAPEBI,36277,BA
29992,ITAPETINGA,36293,BA
30097,ITAPICURU,36315,BA
30152,ITAPITANGA,36331,BA
30218,ITAQUARA,36358,BA
30268,ITARANTIM,36374,BA
30322,ITATIM,36382,BA
30362,ITIRUCU,36390,BA
30419,ITIUBA,36412,BA
30490,ITORORO,36439,BA
30565,ITUACU,36455,BA
