obs,APPLE,DATE,EXXON_MOBIL,FORD,GEN_ELECTRIC,INTEL,MICROSOFT,NETFLIX,NOKIA,SP500,YAHOO
1,84.630001,732720,75.190002,8.45,35.93,20.959999,29.17,22.9,22.91,1443.910034,29.690001
2,85.44,732721,75.260002,8.55,36.360001,21.209999,29.58,22.48,22.950001,1455.150024,30.82
3,85.250002,732722,74.900002,8.54,36.07,21.26,28.91,22.52,23.030001,1456.77002,31
4,84.650002,732726,74.720001,8.56,35.860001,21.059999,28.629999,22.95,22.799999,1455.530029,31.799999
5,85.979999,732727,74.620003,8.67,35.990002,20.969999,28.75,23.519999,22.84,1459.599976,31.74
6,90.800002,732728,75.290001,8.48,35.82,21,29.309999,23.42,22.780001,1457.290039,31.6
7,89.159998,732729,75.519997,8.35,35.330002,20.83,29.219999,23.76,22.860001,1456.219971,31.6
8,89.84,732732,74.889999,8.31,35.259998,20.809999,28.959999,23.71,22.370001,1451.040039,32.799999
9,86.299999,732733,72.230003,8.12,35.299999,20.49,28.709999,22.77,21.790001,1449.25,31.379999
10,82.999997,732734,70.900002,7.9,34.799999,20.049999,27.950001,22.11,21.23,1398.640015,30.860001
11,84.030001,732735,70.949997,7.77,34.610001,19.52,27.82,22.359999,21.219999,1406.800049,30.129999
12,86.770003,732736,69.349998,7.75,34.93,19.51,28.02,22.83,20.790001,1403.160034,30.540001
13,85.890003,732739,70.699997,7.52,34.740002,18.98,27.49,22.01,21.450001,1387.109985,30.18
14,87.8,732740,71,7.67,34.73,19.34,27.799999,21.250001,21.43,1374.060059,30.889999
15,88.049999,732741,72.150002,7.71,34.740002,19.360001,27.76,21.5,21.639999,1395.02002,30.950001
16,88.589998,732742,71.949997,7.81,34.599998,19.280001,27.719999,21.21,21.809999,1391.880005,30.82
17,88.800003,732743,70.800003,8.05,34.57,19.360001,27.42,21.5,21.66,1401.890015,29.85
18,88.07,732746,70.370003,7.95,34.279999,19.110001,27.18,21,21.549999,1402.800049,29.299999
19,89.409997,732747,70.099998,7.84,34.27,19.290001,27.25,21,21.190001,1406.22998,29.77
20,88.599998,732748,70.709999,7.61,34.09,19.190001,26.82,20.51,21.360001,1377.859985,29.629999
21,89.960003,732749,70.769997,7.55,34.200001,19.209999,27.32,21.170001,21.92,1387.109985,29.809999
22,89.54,732750,70.120003,7.63,34.599998,19.15,27.35,21.15,22.209999,1392.280029,30.02
23,90.240003,732753,71.120003,7.58,34.5,19.200001,27.34,21.109999,21.9,1386.949951,30
